Time,Intensity(Avg.),Intensity(Deviation),Data
00.00 - 00.30,0.497571229,0.285912375,4676
00.30 - 01.00,0.528555429,0.291204395,7385
01.00 - 01.30,0.549583648,0.283461464,13112
01.30 - 02.00,0.586196915,0.275469072,20508
02.00 - 02.30,0.589979996,0.272894882,28670
02.30 - 03.00,0.619568843,0.266733072,28293
03.00 - 03.30,0.625840962,0.268146935,33854
03.30 - 04.00,0.622961632,0.271800018,35046
04.00 - 04.30,0.637396535,0.267886793,40170
04.30 - 05.00,0.652357294,0.257225267,43959
05.00 - 05.30,0.658844701,0.255639676,42526
05.30 - 06.00,0.667768756,0.248466935,43278
06.00 - 06.30,0.661956009,0.251738262,47104
06.30 - 07.00,0.663129191,0.252549481,45373
07.00 - 07.30,0.653092823,0.260569249,44442
07.30 - 08.00,0.644170451,0.258811105,46747
08.00 - 08.30,0.644421152,0.257326,43906
08.30 - 09.00,0.642251574,0.255692498,43536
09.00 - 09.30,0.637118025,0.257043221,45295
09.30 - 10.00,0.633365388,0.263099503,42815
10.00 - 10.30,0.642025267,0.257536594,42817
10.30 - 11.00,0.654780417,0.256208938,43830
11.00 - 11.30,0.65560045,0.254841867,44477
11.30 - 12.00,0.672083271,0.249339798,45103
12.00 - 12.30,0.689670095,0.24018058,44151
12.30 - 13.00,0.69006081,0.238042434,45467
13.00 - 13.30,0.690806312,0.240964889,46723
13.30 - 14.00,0.688297958,0.239514177,50148
14.00 - 14.30,0.679534475,0.246463041,47504
14.30 - 15.00,0.651302516,0.254140011,49020
15.00 - 15.30,0.637099144,0.259140281,45220
15.30 - 16.00,0.619640981,0.26938195,38799
16.00 - 16.30,0.601962359,0.277596323,33464
16.30 - 17.00,0.571881511,0.284541483,26695
17.00 - 17.30,0.552532338,0.288137663,18243
17.30 - 18.00,0.535715311,0.292681451,12968
18.00 - 18.30,0.528876073,0.282367838,7353
18.30 - 19.00,0.567245336,0.258920979,4127
19.00 - 19.30,0.60103732,0.253701864,3217
19.30 - 20.00,0.579670631,0.243752059,2713
20.00 - 20.30,0.588988287,0.233793952,2439
20.30 - 21.00,0.543538421,0.23775239,2432
21.00 - 21.30,0.565086224,0.221147886,2052
21.30 - 22.00,0.580335856,0.226916002,2401
22.00 - 22.30,0.559370436,0.238013032,2599
22.30 - 23.00,0.5438778,0.223861551,2694
23.00 - 23.30,0.530675247,0.255884327,2663
23.30 - 23.59,0.486012706,0.272720958,3679
